Line (0874) SphygmoCor Log File 9 ~ 06-08-2010 ~ 11:47:44                                                                                                                                                                                      
1 06-08-2010 ~ 11:47:45 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                     
2 06-08-2010 ~ 11:47:46 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                     
3 06-08-2010 ~ 11:47:49 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                     
4 06-08-2010 ~ 11:47:49 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                     
5 06-08-2010 ~ 11:47:50 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                     
6 06-08-2010 ~ 11:47:52 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                     
7 06-08-2010 ~ 11:47:52 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                     
8 06-08-2010 ~ 11:47:55 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                     
9 06-08-2010 ~ 11:47:56 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                     
10 06-08-2010 ~ 11:47:56 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
11 06-08-2010 ~ 11:47:59 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
12 06-08-2010 ~ 11:48:00 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
13 06-08-2010 ~ 11:48:01 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
14 06-08-2010 ~ 11:48:02 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
15 06-08-2010 ~ 11:48:03 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
16 06-08-2010 ~ 11:48:05 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
17 06-08-2010 ~ 11:48:06 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
18 06-08-2010 ~ 11:48:07 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
19 06-08-2010 ~ 11:48:10 ~ Error  (#115): PWM -> Patient :312, Session :23, Measurement :06-08-2010 11:39:58 AM, DataRevision :130.    Mathematical Error: Error calculating Trigger Points                                                    
