Line (1599) SphygmoCor Log File 9 ~ 04/08/2009 ~ 16:33:10                                                                                                                                                                                      
1 04/08/2009 ~ 16:50:46 ~ SCOR-CvMS 9 Start - FDS 14721300, DBS 40298,  TPM 515564, APM 143960, ML 72   00050                                                                                                                                  
2 04/08/2009 ~ 16:51:18 ~ SCOR-CvMS 9 End - FDS 14721300, DBS 40298,  TPM 515564, APM 134952, ML 73   00050                                                                                                                                    
3 04/08/2009 ~ 16:53:36 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14721300, DBS 40298,  TPM 515564, APM 134200, ML 73   00050                                                                                                                       
4 04/08/2009 ~ 16:54:54 ~ SCOR-CvMS 9 (Clinical) End - FDS 14721296, DBS 40298,  TPM 515564, APM 104424, ML 79   00050                                                                                                                         
5 04/08/2009 ~ 16:55:11 ~ SCOR-CvMS 9 Start - FDS 14721296, DBS 40298,  TPM 515564, APM 117092, ML 77   00050                                                                                                                                  
6 04/08/2009 ~ 16:56:10 ~ SCOR-CvMS 9 End - FDS 14721296, DBS 40298,  TPM 515564, APM 104104, ML 79   00050                                                                                                                                    
7 04/08/2009 ~ 16:58:56 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14721328, DBS 40298,  TPM 515564, APM 127684, ML 75   00050                                                                                                                       
8 04/08/2009 ~ 17:00:16 ~ SCOR-CvMS 9 (Clinical) End - FDS 14721328, DBS 40298,  TPM 515564, APM 117496, ML 77   00050                                                                                                                         
9 04/08/2009 ~ 21:22:52 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14720996, DBS 40298,  TPM 515564, APM 60576, ML 88   00050                                                                                                                        
10 04/08/2009 ~ 21:23:05 ~ SCOR-CvMS 9 (Clinical) End - FDS 14720996, DBS 40298,  TPM 515564, APM 52316, ML 89   00050                                                                                                                         
11 05/08/2009 ~ 10:37:17 ~ SCOR-CvMS 9 (Clinical) Start - FDS 14720584, DBS 40298,  TPM 515564, APM 119676, ML 76   00050                                                                                                                      
12 05/08/2009 ~ 10:39:13 ~ SCOR-CvMS 9 (Clinical) End - FDS 14720588, DBS 40298,  TPM 515564, APM 101012, ML 80   00050                                                                                                                        
13 05/08/2009 ~ 10:43:09 ~ SCOR-CvMS 9 Start - FDS 14720588, DBS 40298,  TPM 515564, APM 108728, ML 78   00050                                                                                                                                 
14 05/08/2009 ~ 10:49:19 ~ SCOR-CvMS 9 End - FDS 14720580, DBS 40298,  TPM 515564, APM 125604, ML 75   00050                                                                                                                                   
15 05/08/2009 ~ 10:50:26 ~ SCOR-CvMS 9 Start - FDS 14720580, DBS 40298,  TPM 515564, APM 142912, ML 72   00050                                                                                                                                 
16 05/08/2009 ~ 10:52:40 ~ SCOR-CvMS 9 End - FDS 14720548, DBS 40298,  TPM 515564, APM 118376, ML 77   00050                                                                                                                                   
17 05/08/2009 ~ 10:58:33 ~ SCOR-CvMS 9 Start - FDS 14720548, DBS 40298,  TPM 515564, APM 141780, ML 72   00050                                                                                                                                 
